keys,en,es
ACTION_HEAVY_SCOUT,Heavy Scout\n80F 30G,Explorador Pesado\n80C 30O
ACTION_KNIGHT,Knight\n60F 75G,Caballero\n60C 75O
ACTION_TREBUCHET_DEPLOY,[D] Deploy,Desplegar [D]
ACTION_TREBUCHET_UNDEPLOY,[D] Pack Up,Replegar [D]
ACTION_SIEGE_WORKSHOP,Siege Workshop\n200W,Taller de Asedio\n200M
ACTION_BATTERING_RAM,Battering Ram\n160W,Ariete\n160M
ACTION_MANGONEL,Mangonel\n160W 135G,Mangonela\n160M 135O
ACTION_TREBUCHET,Trebuchet\n200W 200G,Trebuchet\n200M 200O
ACTION_TRANSPORT_SHIP,Transport Ship,Barco de Transporte
ACTION_WAR_GALLEY,War Galley,Galera de Guerra
NOTIF_UNIT_ATTACK,Your units are under attack!,¡Tus unidades están bajo ataque!
NOTIF_BUILDING_ATTACK,Your buildings are being attacked!,¡Tus edificios están siendo atacados!
NOTIF_POP_CAP,Population limit reached!,¡Límite de población alcanzado!
NOTIF_AGE_ADVANCING,Advancing to the %s...,Avanzando hacia la %s...
NOTIF_AGE_COMPLETE,%s reached!,¡%s alcanzada!
NOTIF_BUILDING_BUILT,%s built,%s construido
NOTIF_BUILDING_DESTROYED_PLAYER,Your %s has been destroyed!,¡Tu %s ha sido destruido!
NOTIF_BUILDING_DESTROYED_ENEMY,Enemy building destroyed,Edificio enemigo destruido
NOTIF_HERO_LOW_HP,⚠ Your hero is critically wounded!,⚠ ¡Tu héroe está herido de gravedad!
NOTIF_MERCENARY_HIRED,Mercenary hired!,¡Mercenario contratado!
GAMEOVER_VICTORY,VICTORY!,¡VICTORIA!
GAMEOVER_DEFEAT,DEFEAT,DERROTA
GAMEOVER_SUMMARY,Match Summary,Resumen de partida
GAMEOVER_TIME,Match time,Tiempo de partida
GAMEOVER_AGE,Age reached,Edad alcanzada
GAMEOVER_UNITS,Units trained,Unidades entrenadas
GAMEOVER_BUILDINGS,Buildings built,Edificios construidos
GAMEOVER_KILLS,Enemies killed,Enemigos eliminados
GAMEOVER_FOOD,Food gathered,Comida recolectada
GAMEOVER_WOOD,Wood gathered,Madera recolectada
GAMEOVER_GOLD,Gold gathered,Oro recolectado
GAMEOVER_STONE,Stone gathered,Piedra recolectada
GAMEOVER_VIEW_MAP,View map,Ver mapa
GAMEOVER_BACK_MENU,Back to menu,Volver al inicio
GAMEOVER_EXIT,Exit to menu,Salir al menú
GAMEOVER_PLAYER,You,Tú
GAMEOVER_RIVAL,Rival,Rival
HERO_ABILITY,Use Ability,Usar Habilidad
UI_HERO_RESPAWNING,Respawning: %ds,Reapareciendo: %ds
UI_HERO_READY,Hero Ready!,¡Héroe listo!
WONDER_TIMER_YOU,Your Wonder,Tu Maravilla
WONDER_TIMER_ENEMY,Enemy Wonder,Maravilla Enemiga
HERO_ABILITY_READY,Ready,Lista
HERO_ABILITY_COOLDOWN,Cooldown: %ds,Recarga: %ds
HERO_BENCOMO_ABILITY,Mencey's Charge,Ímpetu del Mencey
HERO_DORAMAS_ABILITY,Challenge,Desafío
HERO_GUADARFIA_ABILITY,Ambush,Emboscada
HERO_BETHENCOURT_ABILITY,Forced Diplomacy,Diplomacia Forzada
HERO_DRAKE_ABILITY,Plunder,Saqueo
HERO_QUIJOTE_ABILITY,Knight Errant's Charge,Acometida del Caballero Errante
HERO_ARTAXERAX_ABILITY,Calima,Calima
HERO_HANNO_ABILITY,Trade Route,Ruta Comercial
HERO_MENCEYES_CHARGE_ABILITY,Mencey's Charge,Ímpetu del Mencey
HERO_CHALLENGE_ABILITY,Challenge,Desafío
HERO_AMBUSH_ABILITY,Ambush,Emboscada
HERO_FORCED_DIPLOMACY_ABILITY,Forced Diplomacy,Diplomacia Forzada
HERO_PLUNDER_ABILITY,Plunder,Saqueo
HERO_KNIGHT_ERRANT_CHARGE_ABILITY,Knight Errant's Charge,Acometida del Caballero Errante
HERO_CALIMA_ABILITY,Calima,Calima
HERO_TRADE_ROUTE_ABILITY,Trade Route,Ruta Comercial
HERO_MOUNTAIN_VOICE_ABILITY,Mountain Voice,Voz de la Montaña
HERO_FATES_ARROW_ABILITY,Fate's Arrow,Flecha del Destino
HERO_SANDSTORM_ABILITY,Sandstorm,Tormenta de Arena
HERO_HONOR_DUEL_ABILITY,Honor Duel,Duelo de Honor
HERO_BOARDING_ACTION_ABILITY,Boarding Action,Abordaje
HERO_CALL_TO_ARMS_ABILITY,Call to Arms,Llamada a las Armas
HERO_RISING_TIDE_ABILITY,Rising Tide,Marea Creciente
HERO_MERCENARY_PACT_ABILITY,Mercenary Pact,Pacto Mercenario
GAMEOVER_CHARTS,Match Charts,Gráficas de Partida
GAMEOVER_CHARTS_CLOSE,Close,Cerrar
CHART_POPULATION,Population,Población
CHART_RESOURCES,Resources Gathered,Recursos Recolectados
CHART_AGE,Age Progression,Progresión de Edad
CHART_OFFENSIVES,Offensives (kills/interval),Ofensivas (bajas/intervalo)
PAUSEMENU_RESUME,Resume,Continuar
PAUSEMENU_SAVE,Save Game,Guardar Partida
PAUSEMENU_SURRENDER,Surrender,Rendirse
PAUSEMENU_QUIT,Exit Game,Salir del Juego
MENU_PLAY,Play,Jugar
MENU_CONTINUE,Continue,Continuar Partida
MENU_SETTINGS,Settings,Ajustes
MENU_QUIT,Quit,Salir
MENU_LOADING,Preparing the world...,Preparando el mundo...
SAVE_SUCCESS,Game saved!,¡Partida guardada!
SAVE_FAILED,Save failed!,¡Error al guardar!
SAVE_PICKER_TITLE,Save Game,Guardar Partida
SAVE_NEW_SLOT,+ New Save,+ Nueva ranura
SAVE_CANCEL,Cancel,Cancelar
SAVE_DELETE,X,X
LOAD_PICKER_TITLE,Load Game,Cargar Partida
SAVE_NO_SAVES,No saved games found,No hay partidas guardadas
SETTINGS_TITLE,Settings,Ajustes
SETTINGS_MUSIC,Music,Música
SETTINGS_SFX,Sound Effects,Efectos de sonido
SETTINGS_DIFFICULTY,AI Difficulty,Dificultad de la IA
SETTINGS_EASY,Easy,Fácil
SETTINGS_NORMAL,Normal,Normal
SETTINGS_HARD,Hard,Difícil
SETTINGS_SAVE,Save & Close,Guardar y cerrar
SETTINGS_LANGUAGE,Language,Idioma
SETTINGS_CONTROLS,Controls,Controles
SETTINGS_SHOW_DPAD,Show D-Pad,Mostrar cruceta
SETTINGS_EDGE_SCROLL,Edge Scroll,Desplazamiento por bordes
SETTINGS_ON,ON,Activado
SETTINGS_OFF,OFF,Desactivado
MENU_NEW_GAME,New Game,Nueva Partida
LOBBY_TITLE,Match Setup,Configuración de Partida
LOBBY_MAP_TYPE,Map Type,Tipo de Mapa
LOBBY_MAPTYPE_PLAINS,Plains,Llanura
LOBBY_MAPTYPE_STANDARD,Standard,Estándar
LOBBY_MAPTYPE_VOLCANIC,Volcanic Coast,Costa Volcánica
LOBBY_MAPTYPE_DESERT,Desert Coast,Costa Desértica
LOBBY_MAPTYPE_ISLANDS,Islands,Islas
LOBBY_MAP_SIZE,Map Size,Tamaño del Mapa
LOBBY_MAP_SMALL,Small,Pequeño
LOBBY_MAP_MEDIUM,Medium,Mediano
LOBBY_MAP_LARGE,Large,Grande
LOBBY_RESOURCES,Starting Resources,Recursos Iniciales
LOBBY_RES_SCARCE,Scarce,Escasos
LOBBY_RES_NORMAL,Normal,Normal
LOBBY_RES_ABUNDANT,Abundant,Abundantes
LOBBY_RES_FULL_COMBAT,Full Combat,Combate Total
LOBBY_CIVILIZATION,Your Civilization,Tu Civilización
LOBBY_STARTING_AGE,Starting Age,Edad de Inicio
LOBBY_RIVAL_COUNT,Number of Rivals,Número de Rivales
LOBBY_AI_DIFFICULTY,AI Difficulty,Dificultad de la IA
LOBBY_DIFFICULTY_EASY,Easy,Fácil
LOBBY_DIFFICULTY_NORMAL,Normal,Normal
LOBBY_DIFFICULTY_HARD,Hard,Difícil
LOBBY_RIVAL,Rival,Rival
LOBBY_VICTORY_MODE,Victory Condition,Condición de Victoria
LOBBY_VICTORY_CONQUEST,Conquest,Conquista
LOBBY_VICTORY_REGICIDE,Regicide,Regicidio
LOBBY_VICTORY_WONDER,Wonder,Maravilla
LOBBY_WEATHER_FREQUENCY,Weather,Clima
LOBBY_WEATHER_OFF,Off,Desactivado
LOBBY_WEATHER_NORMAL,Normal,Normal
LOBBY_WEATHER_FREQUENT,Frequent,Frecuente
LOBBY_WEATHER_EXTREME,Extreme,Extremo
LOBBY_START,Start Game,Iniciar Partida
LOBBY_BACK,← Back,← Volver
CIV_GUANCHES_NAME,Guanches,Guanches
CIV_GUANCHES_DESC,Masters of volcanic terrain. Stone buildings are tougher and spearmen are available from the start.,Dueños del terreno volcánico. Los edificios de piedra son más resistentes y los lanceros están disponibles desde el inicio.
CIV_CANARII_NAME,Canarii,Canarii
CIV_CANARII_DESC,Powerful economy and cheap archers. Villagers gather food faster and houses serve as drop-off points.,Economía potente y arqueros baratos. Los aldeanos recolectan comida más rápido y las casas sirven como puntos de entrega.
CIV_MAHOS_NAME,Mahos,Mahos
CIV_MAHOS_DESC,Swift desert warriors. Buildings cost less wood and scouts move faster across arid terrain.,Guerreros del desierto veloces. Los edificios cuestan menos madera y los exploradores se mueven más rápido en terreno árido.
CIV_FRANKS_NAME,Francos,Francos
CIV_FRANKS_DESC,Fast advancing cavalry nation. Age advancement costs less and cavalry is stronger from Feudal Age.,Nación de caballería con avance rápido. Avanzar de edad cuesta menos y la caballería es más fuerte desde la Edad Feudal.
CIV_BRITONS_NAME,Britanos,Britanos
CIV_BRITONS_DESC,Naval raiders and master archers. Foot archers gain range each age and warships attack faster.,Corsarios navales y arqueros expertos. Los arqueros ganan alcance por era y los barcos de guerra atacan más rápido.
CIV_CASTELLANOS_NAME,Castellanos,Castellanos
CIV_CASTELLANOS_DESC,Late-game powerhouse. Each age advance unlocks a free technology and swordsmen are exceptionally tough.,Potencia del juego tardío. Cada avance de edad desbloquea una tecnología gratuita y los espadachines son excepcionalmente resistentes.
CIV_ATLANTES_NAME,Atlantes,Atlantes
CIV_ATLANTES_DESC,"Mysterious seafarers. Build on ocean tiles, move freely through shallow water and dominate the coast.","Navegantes misteriosos. Construyen sobre el océano, se mueven libremente por aguas poco profundas y dominan la costa."
CIV_FENICIOS_NAME,Fenicios,Fenicios
CIV_FENICIOS_DESC,Ancient traders. Market available from the start and merchant ships generate passive gold.,Comerciantes ancestrales. El mercado está disponible desde el inicio y los barcos mercantes generan oro pasivo.
CIV_GUANCHES_UNIQUE_UNIT,Menceyes Guard,Guardia Menceyes
CIV_CANARII_UNIQUE_UNIT,Ravine Archer,Arquero de Barranco
CIV_MAHOS_UNIQUE_UNIT,Sand Raider,Corsario de Arena
CIV_FRANKS_UNIQUE_UNIT,Chevalier Normand,Chevalier Normand
CIV_BRITONS_UNIQUE_UNIT,Longbowman,Arquero de Arco Largo
CIV_CASTELLANOS_UNIQUE_UNIT,Conquistador,Conquistador
CIV_ATLANTES_UNIQUE_UNIT,Tidecaller,Invocador de Mareas
CIV_FENICIOS_UNIQUE_UNIT,Trireme,Trirreme
LOBBY_CIV_HERO,Hero,Héroe
LOBBY_CIV_ABILITY,Ability,Habilidad
LOBBY_CIV_UNIQUE,Unique Unit,Unidad Única
LOBBY_CIV_BONUSES,Bonuses,Bonificaciones
HERO_BENCOMO_ABILITY_DESC,Rallies nearby allies: +30% attack speed for 10s.,Anima a los aliados cercanos: +30% velocidad de ataque durante 10s.
HERO_DORAMAS_ABILITY_DESC,Taunts nearest enemy forcing it to attack Doramas for 6s.,Provoca al enemigo más cercano obligándolo a atacar a Doramas durante 6s.
HERO_GUADARFIA_ABILITY_DESC,Becomes nearly invisible for 8s. Enemies cannot auto-attack.,Se vuelve casi invisible durante 8s. Los enemigos no pueden atacar automáticamente.
HERO_BETHENCOURT_ABILITY_DESC,Converts nearest enemy unit to your side for 12s.,Convierte la unidad enemiga más cercana a tu bando durante 12s.
HERO_DRAKE_ABILITY_DESC,Earns 15 gold per enemy kill within range for 20s.,Obtiene 15 de oro por cada enemigo eliminado en rango durante 20s.
HERO_QUIJOTE_ABILITY_DESC,Charges forward dealing heavy damage to all units in path.,Carga hacia adelante infligiendo gran daño a todas las unidades en su camino.
HERO_ARTAXERAX_ABILITY_DESC,Cloaks nearby allies in calima for 12s. Cannot be targeted.,Envuelve a los aliados cercanos en calima durante 12s. No pueden ser objetivo de ataques.
HERO_HANNO_ABILITY_DESC,Establishes a trade route generating 50 gold over 30s.,Establece una ruta comercial que genera 50 de oro en 30s.
TOOLTIP_MOVE_TO,Move to a target location. [M],Mover a una posición objetivo. [M]
TOOLTIP_ATTACK_MOVE,Move toward a position automatically attacking enemies in range. [A],Avanza hacia una posición atacando automáticamente a los enemigos en rango. [A]
TOOLTIP_STOP,Cancel all orders and stand idle. [X],Cancela todas las órdenes y detén la unidad. [X]
TOOLTIP_COVER_FIRE,Fire at a point on the map. Right-click to aim. [C],Dispara a un punto del mapa. Clic derecho para apuntar. [C]
TOOLTIP_DESTROY,Permanently destroy the selected unit or building. Cannot be undone. [Del],Destruye permanentemente la unidad o edificio seleccionado. No se puede deshacer. [Supr]
TOOLTIP_SHOW_PATH,Toggle display of the unit's current navigation path. [P],Mostrar u ocultar la ruta de navegación actual de la unidad. [P]
TOOLTIP_GATHER_WOOD,Send villagers to chop wood from nearby trees. [C],Envía aldeanos a talar madera de árboles cercanos. [C]
TOOLTIP_GATHER_GOLD,Send villagers to mine gold from deposits. [G],Envía aldeanos a extraer oro de depósitos. [G]
TOOLTIP_GATHER_STONE,Send villagers to quarry stone. [T],Envía aldeanos a extraer piedra de canteras. [T]
TOOLTIP_GATHER_FOOD,Send villagers to gather food from farms hunted animals or berries. [H],Envía aldeanos a recolectar comida de granjas caza o bayas. [H]
TOOLTIP_BUILD_MENU,Open the building menu to place structures. [B],Abre el menú de construcción para colocar edificios. [B]
TOOLTIP_BUILD_HOUSE,Increases population cap by 5. Build more to support a larger army.,Aumenta el límite de población en 5. Construye más para mantener un ejército mayor.
TOOLTIP_BUILD_BARRACKS,Trains infantry units: Militia Archer and Pikeman.,Entrena unidades de infantería: Milicia Arquero y Lancero.
TOOLTIP_BUILD_BLACKSMITH,Research attack and armor upgrades for your units.,Investiga mejoras de ataque y armadura para tus unidades.
TOOLTIP_BUILD_ARCHERY_RANGE,Trains ranged units: Archer and Longbowman.,Entrena unidades de distancia: Arquero y Arquero de Guerra.
TOOLTIP_BUILD_STABLE,Trains cavalry: Heavy Scout (Feudal Age) and Knight (Castle Age).,Entrena caballería: Explorador Pesado (Edad Feudal) y Caballero (Edad del Castillo).
TOOLTIP_BUILD_LUMBER,Wood drop-off point. Villagers deposit gathered wood here.,Punto de entrega de madera. Los aldeanos depositan aquí la madera recolectada.
TOOLTIP_BUILD_MINING,Drop-off point for gold and stone.,Punto de entrega de oro y piedra.
TOOLTIP_BUILD_FARM,Generates food passively over time. No villager required.,Genera comida de forma pasiva con el tiempo. No requiere aldeanos.
TOOLTIP_BUILD_WALL,Stone wall that blocks enemy movement. Chain walls to protect your base.,Muro de piedra que bloquea el movimiento enemigo. Enlaza muros para proteger tu base.
TOOLTIP_BUILD_GATE,A wall section that can be opened closed or locked to control passage.,Una sección de muro que se puede abrir cerrar o bloquear para controlar el paso.
TOOLTIP_BUILD_DOCK,Naval production building. Train ships and fishing boats.,Edificio de producción naval. Entrena barcos y botes de pesca.
TOOLTIP_BUILD_UNIVERSITY,Research advanced technologies to improve your military.,Investiga tecnologías avanzadas para mejorar tu ejército.
TOOLTIP_BUILD_MARKET,Trade surplus resources for gold. Buy or sell large quantities.,Intercambia recursos sobrantes por oro. Compra o vende en grandes cantidades.
TOOLTIP_BUILD_TEMPLE,Research religious technologies that strengthen your units.,Investiga tecnologías religiosas que fortalecen tus unidades.
TOOLTIP_BUILD_SIEGE_WORKSHOP,Trains siege units: Battering Ram Mangonel and Trebuchet. Available from Castle Age.,Entrena unidades de asedio: Ariete Mangonela y Trebuchet. Disponible desde la Edad del Castillo.
ACTION_TOWN_CENTER,Town Center\n275W,Centro Urbano\n275M
TOOLTIP_BUILD_TOWN_CENTER,Build an additional Town Center. Trains villagers and acts as a drop-off point. Available from Castle Age.,Construye un Centro Urbano adicional. Entrena aldeanos y sirve como punto de entrega. Disponible desde la Edad del Castillo.
TOOLTIP_BUILD_WONDER,In Wonder mode completing this building starts a 4-minute countdown to victory. Requires Imperial Age.,En modo Maravilla completar este edificio inicia una cuenta atrás de 4 minutos para la victoria. Requiere Era Imperial.
TOOLTIP_BUILD_BACK,Return to the main action panel.,Volver al panel de acciones principal.
TOOLTIP_TRAIN_VILLAGER,Train a villager to gather resources and construct buildings. Essential for your economy.,Entrena un aldeano para recolectar recursos y construir edificios. Esencial para tu economía.
TOOLTIP_HEAVY_SCOUT,Fast cavalry available from Feudal Age. Effective for raiding and early pressure.,Caballería rápida disponible desde la Edad Feudal. Eficaz para incursiones y presión temprana.
TOOLTIP_KNIGHT,Heavy cavalry with high attack and HP. The backbone of a Castle Age army.,Caballería pesada con alto ataque y vida. La columna vertebral de un ejército de la Edad del Castillo.
TOOLTIP_FISHING_BOAT,Harvests fish from the water providing a steady food income.,Cosecha peces del agua proporcionando una fuente constante de comida.
TOOLTIP_TRANSPORT_SHIP,Carries up to 8 units across water. Essential for attacking on island maps.,Transporta hasta 8 unidades a través del agua. Esencial para atacar en mapas de islas.
TOOLTIP_WAR_GALLEY,Combat warship with ranged attack. Dominates coastal waters and can bombard shore buildings.,Barco de guerra con ataque a distancia. Domina las aguas costeras y puede bombardear edificios en la orilla.
TOOLTIP_UNLOAD,Unload all garrisoned units from the transport ship at the current position.,Desembarca todas las unidades de la bodega en la posición actual.
TOOLTIP_GATE_LOCK,Lock or unlock the gate to control passage. Locked gates block all units including allies.,Bloquea o desbloquea la puerta para controlar el paso. Las puertas bloqueadas impiden el paso a todas las unidades incluidas las aliadas.
MENU_HOW_TO_PLAY,How to Play,Cómo Jugar
TUTORIAL_PROMPT_TITLE,New to Calima?,¿Nuevo en Calima?
TUTORIAL_PROMPT_BODY,Would you like a quick tutorial to learn the basics before your first match?,¿Quieres un tutorial rápido para aprender lo básico antes de tu primera partida?
TUTORIAL_PROMPT_YES,Show Tutorial,Ver Tutorial
TUTORIAL_PROMPT_SKIP,Skip for now,Omitir por ahora
TUTORIAL_STEP0_TITLE,Welcome to Calima,Bienvenido a Calima
TUTORIAL_STEP0_BODY,You are in command of a civilization fighting for control of the Canary Islands. This tutorial covers the basics — use Next to advance through each step. You can replay it anytime from the main menu.,Estás al mando de una civilización que lucha por el control de las Islas Canarias. Este tutorial cubre lo básico — usa Siguiente para avanzar. Puedes repetirlo cuando quieras desde el menú principal.
TUTORIAL_STEP1_TITLE,Resources,Recursos
TUTORIAL_STEP1_BODY,The top bar shows your 4 resources: Food (red) Wood (green) Gold (yellow) Stone (grey). Move the camera with WASD or by pushing the mouse to the screen edge to explore the map. Try it now — pan the camera to unlock this step.,La barra superior muestra tus 4 recursos: Comida (rojo) Madera (verde) Oro (amarillo) Piedra (gris). Mueve la cámara con WASD o llevando el ratón al borde de la pantalla para explorar el mapa. Inténtalo ahora — mueve la cámara para desbloquear este paso.
TUTORIAL_STEP2_TITLE,Gathering Resources,Recolección de Recursos
TUTORIAL_STEP2_BODY,Click a Villager to select it then right-click a nearby tree or gold mine. The Villager will walk over and start collecting automatically — carrying up to 10 units before returning to the nearest drop-off building on its own.,Haz clic en un Aldeano para seleccionarlo y luego clic derecho en un árbol o mina cercanos. El Aldeano irá hasta el recurso y empezará a recolectar automáticamente — transporta hasta 10 unidades antes de volver solo al edificio de entrega más cercano.
TUTORIAL_STEP3_TITLE,Building,Construir
TUTORIAL_STEP3_BODY,Select a Villager and press [B] to open the build menu. Build a Lumber Camp next to trees or a Mining Camp next to a gold mine — this creates a nearby drop-off point so Villagers don't have to walk all the way back to the Town Center. Wait for the Villager to finish construction to unlock this step.,Selecciona un Aldeano y pulsa [B] para abrir el menú de construcción. Construye un Campamento Maderero junto a los árboles o un Campamento Minero junto a una mina de oro — crea un punto de entrega cercano para que los Aldeanos no tengan que volver hasta el Centro Urbano. Espera a que el Aldeano termine la construcción para desbloquear este paso.
TUTORIAL_STEP4_TITLE,Population Cap,Límite de Población
TUTORIAL_STEP4_BODY,You start with a population cap of 15. Every House raises it by 5. If you hit the cap all training pauses until you build more. Build a House and wait for it to finish — your population cap will increase once it is complete.,Empiezas con un límite de población de 15. Cada Casa lo aumenta en 5. Si alcanzas el tope todo el entrenamiento se pausa hasta que construyas más. Construye una Casa y espera a que termine — el límite de población aumentará cuando esté lista.
TUTORIAL_STEP5_TITLE,Train a Villager,Entrenar un Aldeano
TUTORIAL_STEP5_BODY,Click your Town Center and train a Villager (50 Food). More Villagers mean faster resource gathering — keeping them busy is the key to a strong economy.,Haz clic en tu Centro Urbano y entrena un Aldeano (50 Comida). Más Aldeanos significa recolectar recursos más rápido — mantenerlos ocupados es la clave de una economía fuerte.
TUTORIAL_STEP5B_TITLE,Barracks & Military Units,Cuartel y Unidades Militares
TUTORIAL_STEP5B_BODY,Select a Villager press [B] then choose Barracks (175 Wood) and place it on the map. Once built click the Barracks to train your first Militia (60 Food + 20 Wood). Queue up several — click the button multiple times. Right-click near the Barracks to set a Rally Point so trained units march there automatically.,Selecciona un Aldeano pulsa [B] y elige Cuartel (175 Madera) y colócalo en el mapa. Una vez construido haz clic en el Cuartel para entrenar tu primera Milicia (60 Comida + 20 Madera). Pon varios en cola — haz clic varias veces en el botón. Haz clic derecho cerca del Cuartel para establecer un Punto de Reunión y que las unidades entrenadas vayan allí automáticamente.
TUTORIAL_STEP6_TITLE,Advancing Ages,Avanzar de Edad
TUTORIAL_STEP6_BODY,Click your Town Center and press the Advance button to move to the Feudal Age (500 Food). Each Age unlocks new units buildings and technologies. Advancing takes about 2 minutes — your economy keeps running while you wait. This step unlocks when the age transition completes.,Haz clic en tu Centro Urbano y pulsa el botón Avanzar para pasar a la Edad Feudal (500 Comida). Cada Edad desbloquea nuevas unidades edificios y tecnologías. Avanzar tarda unos 2 minutos — tu economía sigue funcionando mientras esperas. Este paso se desbloquea cuando finalice la transición de era.
TUTORIAL_STEP7_TITLE,Your Hero,Tu Héroe
TUTORIAL_STEP7_BODY,Every civilization starts with a unique Hero — your most powerful unit. Select them and press [Q] to activate their special ability. If a Hero dies they respawn at the Town Center after 2 minutes. In Regicide mode hero death means instant defeat — protect yours and hunt down the enemy's.,Cada civilización empieza con un Héroe único — tu unidad más poderosa. Selecciónalo y pulsa [Q] para activar su habilidad especial. Si un Héroe muere reaparece en el Centro Urbano tras 2 minutos. En modo Regicidio la muerte del héroe supone la derrota inmediata — protege el tuyo y busca el del enemigo.
TUTORIAL_STEP7B_TITLE,Explore the Map,Explorar el Mapa
TUTORIAL_STEP7B_BODY,Select your Scout — the fast unit near your Town Center — and move it away to reveal the fog of war. The more ground it covers the more of the map you uncover. Keep an eye on the minimap in the bottom-left corner. Move your Scout until enough fog is cleared to unlock this step.,Selecciona tu Explorador — la unidad rápida cerca de tu Centro Urbano — y muévelo para revelar la niebla de guerra. Cuanto más terreno cubra más mapa descubrirás. Vigila el minimapa en la esquina inferior izquierda. Mueve tu Explorador hasta despejar suficiente niebla para desbloquear este paso.
TUTORIAL_STEP8_TITLE,Combat,Combate
TUTORIAL_STEP8_BODY,Select combat units by clicking them — hold Shift to add more to your selection. Right-click an enemy unit or building to attack it. Press [A] and click anywhere for Attack-Move: your units march to that point and attack any enemy they encounter. Press [X] to stop all orders. Use [M] to move without attacking.,Selecciona unidades de combate haciendo clic — mantén Shift para añadir más a la selección. Haz clic derecho sobre una unidad o edificio enemigo para atacar. Pulsa [A] y haz clic en cualquier lugar para Atacar-Mover: tus unidades avanzan hasta ese punto atacando a cualquier enemigo que encuentren. Pulsa [X] para cancelar todas las órdenes. Usa [M] para mover sin atacar.
TUTORIAL_STEP9_TITLE,Your Goal,Tu Objetivo
TUTORIAL_STEP9_BODY,This match uses Conquest mode: destroy all enemy units and buildings to win. The enemy Town Center is their most important structure — take it down and finish off whatever remains. Press [A] + click for Attack-Move to push forward safely. You are ready. Good luck!,Esta partida usa el modo Conquista: destruye todas las unidades y edificios enemigos para ganar. El Centro Urbano enemigo es su estructura más importante — destrúyelo y acaba con lo que quede. Pulsa [A] + clic para Atacar-Mover y avanzar con seguridad. Estás listo. ¡Buena suerte!
TUTORIAL_FINISH,Finish,Finalizar
TUTORIAL_NEXT,Next →,Siguiente →
TUTORIAL_BACK,← Back,← Atrás
TUTORIAL_SKIP,Skip tutorial,Omitir tutorial
TUTORIAL_DO_IT,Complete the action above to continue.,Completa la acción indicada para continuar.
ACTION_SCOUT,Scout\n80F,Explorador\n80C
